title,star,review,date,help,,
Good,4.0 out of 5 stars,"Its good, but not good as Honey Mashorba facial cleanser.",Reviewed in India on 11 January 2022,,,
Nice,4.0 out of 5 stars,Very nice product...smells like heaven,Reviewed in India on 11 January 2022,,,
Smiley product,4.0 out of 5 stars,Suit my skin,Reviewed in India on 19 January 2022,,,
Loved it,4.0 out of 5 stars,Loved it.. very gentle cleanser.suits for sensitive skin too..but it have fragrance.so if u r allergic to fragrance then u should stay away from this one... But it worked me alot...its been 2 month im using it..u need a less quantity of product..so it long last..mine is combination skin..and I'm using in my morning routine 😻,Reviewed in India on 27 October 2020,,,
Nice product,4.0 out of 5 stars,Good product,Reviewed in India on 7 January 2022,,,
Perfect for oily and combination skin!,5.0 out of 5 stars,"I just love everything about this facewash!  I'm first time using skincare products.. And  tried  the plum green tea facewash too.. But oh my god! This facewash is just perfect for me! I have oily skin.. It's super light on face, cleans my face gently... Fragrance is also not so strong..  Controls oil on my face! Today is the first time I've used it and wow!  It's amazing! 😍  will put a review after 1month of using it! And also I love the tiny little bottle it's so cute!",Reviewed in India on 9 September 2020,One person found this helpful,,
V nice product,3.0 out of 5 stars,Not harsh on skin. Good for daily use,Reviewed in India on 26 April 2022,,,
Awesome,4.0 out of 5 stars,Awesome facewash,Reviewed in India on 4 December 2021,,,
Love it,5.0 out of 5 stars,"I have acne prone but ageing skin so this facewash is gentle and mild and does not dry out my skin. The smell is subtle but very pleasant. A bottle lasts me a year, cause you really need a just a dot to clean your face, so it's not as expensive as it seems.",Reviewed in India on 2 August 2021,,,
Diluted with Water - destroyed a good product,1.0 out of 5 stars,"When I first bought this product, I was in love with it due to its fragrance and quality. However, Forest Essential has diluted this product so much with water, its no longer a face wash but some water solution. you can use the small bottle only 3-4 times at best. Earlier product was so much better but companies like Forest Essential think customers will not notice the difference between face wash and water.",Reviewed in India on 31 October 2022,,,
Thankyou Forest essentials for such an amazing product .,5.0 out of 5 stars,"I must say this ia an awesome product.Due to winters my skin became so dry though i am having a combination skin but this this face wash became a magic to my skin.Its so mild , the fragrance is very mild just like pure saffron.And even even everyone is saying that my skin has beautiful glow..Thankyou Forest essentials for such an amazing product & THANKYOU to Amazon for the serving us..",Reviewed in India on 9 January 2021,2 people found this helpful,,
Way to expansive product. but got positive result on my skin.,3.0 out of 5 stars,"Way to expansive for being a facewash. Go for it if you have some skin issue ,it will give you a great result. but is have normal skin without any issue then go for neem face wash. There are plenty of those in the market with good quality and price.",Reviewed in India on 19 August 2021,,,
Loved it,4.0 out of 5 stars,I am happy to buy and will purchase second bottle soon.If you want to buy go for it.It's is small bottle but if you will used to it.Will go for it.It's luxurious but too much costly.Not package friendly.,Reviewed in India on 22 October 2020,,,
Very nice product Forest essentials,5.0 out of 5 stars,👍👍👍It has a very nice result. But it is a natural product. If some people are allergic don't buy.BUT it is an awesome product. I am in love with it fragrance and it is a nice face wash your face feels very fresh and it glows,Reviewed in India on 7 September 2021,,,
Gives a lot of glow,5.0 out of 5 stars,"This is a good facewash... But one thing that I personally don't like about it, is the overwhelming smell of this facewash... Otherwise this facewash adds a subtle glow after use and also because neem is present in it... I had very less acne after I started using it",Reviewed in India on 20 July 2021,,,
Good product!,5.0 out of 5 stars,"Good product, feels great on your skin and scent is amazing.This lasts around 1-2 weeks depending on your use. I would suggest buy this to check if this product suits you and if yes, then buy the bigger version of this product.",Reviewed in India on 13 September 2021,,,
"Expensive, fragrant, good for dry skin, might have to use more than once for oily.",3.0 out of 5 stars,"Firstly, the cleanser comes in a plastic bottle and not glass. Second, the fragrance is amazing! It feels heavenly and luxurious. Third, it doesn't strip your skin of oils, it's mild but other than the fragrance the actual 'cleansing' experience isn't that great. Feels like rinsing oily skin with water, then a rubbery feel. You might have to use it twice if your skin is oily. After patting your skin dry, it feels good, the fragrance specially stays on for so long.❤️ The price for such quantity is quite high.",Reviewed in India on 12 August 2020,4 people found this helpful,,
Good product in total,5.0 out of 5 stars,"I liked it. It make my skin very soft and clean. After washing, I don't feel the dry tightness on my face, skin is still  moist. Only thing I don't like is the scent, but this is personal,  only because it is not my type.",Reviewed in India on 25 May 2021,,,
Try it,4.0 out of 5 stars,It is best product have come across.However it is bit expensive but totally worth it.One must definately try this face wash and feel the difference on the face .Totally refreshing amd rejunevating.👍,Reviewed in India on 30 October 2020,,,
Best facial cleanser for Sensitive skin!!,5.0 out of 5 stars,I’ve a very sensitive skin. Get acnes most of the time. Can’t say it cure acnes or prevents them completely but IT SURE MAKES YOUR SKIN FEELS GOOD. So light!! And the smell. Uff!! Been using this since the last 3 years.,Reviewed in India on 8 July 2021,,,
Must try for all skin types,5.0 out of 5 stars,I am using this for a long time it’s good after wash you can feel your skin becomes soft and more clear and soft than before.. scent is mild.. it’s costly but results are good than the price is worth it..,Reviewed in India on 18 July 2021,,,
Wonderful for delicate skin,5.0 out of 5 stars,"Since I started using this cleanser, haven’t moved to any other product. My skin is highly sensitive and get blemishes and breakout with mildest of products so this has come as such a relief.While it might seem pricey, it lasts surprisingly long. Mine lasts for 4-5 months. Definitely a must try .",Reviewed in India on 20 January 2021,One person found this helpful,,
Product with its cost 😍,5.0 out of 5 stars,"I luv this face wash very much. Have tried many face washes but never felt satisfied. The smell is slightly string and astringent like. Except for the smell i luv this product so so much. It makes my skin look and feel softer. No added soap in this product, i could feel the absence of soap but it cleaned the skin so very well. MUST BUY FOR PPL IN SEARCH OF A GOOD FACE WASH. Thank you first essentials for such a great product. 😍",Reviewed in India on 5 November 2019,9 people found this helpful,,
Not worth the price,3.0 out of 5 stars,This is my second purchase. Satisfied with first purchase but not this time. package has changed and looks very small also I have to apply more quantity in order to clear residue on face.It has decent scent but still didn't feel it's worth the price.,Reviewed in India on 1 February 2021,,,
Highly recommended,4.0 out of 5 stars,Very good fragrance,Reviewed in India on 12 September 2021,,,
AMAZING PRODUCT,5.0 out of 5 stars,"It works very well , it controls all acne and pimples. Makes skin tone a little brighter, it remove oil over the skin without give harsh on skin.So give a chance to your beautiful skin.🥰🥰🥰",Reviewed in India on 10 August 2021,,,
Best for sensitive oily skin,5.0 out of 5 stars,This is my 6th bottle and I come back to this product every time. It’s really good for sensitive skin. It’s very gentle and does a good job on cleaning the oils off my face,Reviewed in India on 31 August 2021,,,
It gives face a massage like feel and ur face will glow,4.0 out of 5 stars,"Its best for dry skin, and sensitive ones its glows up ur face n has a rose smell ,its really good i happy buying such product.",Reviewed in India on 14 November 2020,,,
"The travel pack is best, you di not want to miss your daily skin  routine.utine",5.0 out of 5 stars,"The scent is lovely, it refreshes your skin making it shiny and soft.",Reviewed in India on 11 January 2022,One person found this helpful,,
��🏻,5.0 out of 5 stars,👍🏻,Reviewed in India on 20 March 2022,,,
Five Stars,5.0 out of 5 stars,"The product is really great, but unfortunately I received the other variant which is for dry/normal skin.This is my usual face wash though. It's best for oily skin! Wet your face with warm water, and take 2 pumps and use circular motion to cleanse. Don't expect a lot of lather, it's a good thing it doesn't lather much, but it cleanses really well.I sure wish Forest Essentials products had better packaging. The bottle itself is alright, but the top keeps coming off. NOT FOR TRAVELLING! :-/ WE NEED BETTER DESIGNED BOTTLES. LOVE THE PRODUCTS!",Reviewed in India on 26 March 2018,14 people found this helpful,,
after wash the face look like shine,4.0 out of 5 stars,Nice product,Reviewed in India on 17 July 2021,,,
Good fr my skin,5.0 out of 5 stars,I like how it work very effectively from first use only,Reviewed in India on 10 January 2022,,,
100% Aurvedic,5.0 out of 5 stars,It feels really good...great result!!,Reviewed in India on 5 February 2022,,,
Awesome,4.0 out of 5 stars,Really its Awesome product 💕💕💕My face after wash its feel smooth and clearEveryone once use defiantly you like it....Smells like a heaven😍😍😍😍😍😍😍,Reviewed in India on 30 August 2020,,,
Hello to soft skin,5.0 out of 5 stars,This face cleanser is a glorified face wash and not a makeup remover.But I still love it.You're supposed to use it on a damp face.Be careful and take only a teeny tiny bit.It won't lather.And the effect(skin so soft that I can't resist touching it again and again) will be noticeable only after using it consistently for 3-4 days.Stop using it for a couple of days and then it is bye bye soft skin.It doesn't do a single blessed thing about blemishes.But then I had zero expectations about that.I haven't noticed any glow either.The fragrance is heavenly! It is so subtle and is a blessing to people who can't stand strong perfumes.And the pump is so convenient.,Reviewed in India on 22 September 2016,2 people found this helpful,,
Recommend,5.0 out of 5 stars,I absolutely love this product. I have stopped using any other face wash or cleanser. This is perfect for all skin types as my skin is sensitive and i have never liked any product for my face so much.,Reviewed in India on 19 March 2021,,,
Good,4.0 out of 5 stars,NYC productDelivery was also OK.,Reviewed in India on 31 May 2021,,,
BEST for my oily T-zone,5.0 out of 5 stars,"I have an extreme combination skin, my face is super dry and my T-zone is EXTREMELY oily. NO combination product has ever worked perfectly for my skin besides THIS face wash.I've started using this only on my T-zone and all the breakouts have subsided. The white heads on my nose are nearly gone and with a bi-weekly use of their- the hand pound fruit scrub- my skin is GLOWING!",Reviewed in India on 4 September 2019,One person found this helpful,,
Good,4.0 out of 5 stars,Good,Reviewed in India on 25 June 2021,,,
Nice one,4.0 out of 5 stars,This one one of my favourite face wash. It's expensive but it lasts long. It perfectly goes with my sensitive to oily skin.cleanse properly after two washes.After wash my skin doesn't look scratchy but need to moisturise though. Smell is very mild and soothing. Guys this oneis good if your looking for chemical free face wash to make your skin happy.,Reviewed in India on 5 January 2018,One person found this helpful,,
"Just another mild face wash, price disproportionately high",3.0 out of 5 stars,"It is just ok; nothing special about it, except for the price,which is quite high!",Reviewed in India on 31 August 2021,,,
Go for it,4.0 out of 5 stars,Amazing facewash for oily skin ..just go for it,Reviewed in India on 9 March 2021,,,
Nice,5.0 out of 5 stars,The smell is too good. Skin feels smooth and no problem for dry skin.,Reviewed in India on 12 November 2021,,,
gentle magic -- pretty good mild cleanser,4.0 out of 5 stars,"Light to the hands and face. Super gentle. Smells amazing. Does the job for my combination skin. I can't emphasise how gentle it is. My skin is happy with it. As with a lot of western generated products, I think there is a phase where the skin takes time to adjust. Didn't see that here...Instant like. But just maybe, I wonder if another Ayurvedic cleanser (That smells amazing and not like neem), if diluted, would achieve the same!? It's really mild folks ;)",Reviewed in India on 12 April 2016,,,
Very nice product but mehnga h,4.0 out of 5 stars,Nice but very costly,Reviewed in India on 30 April 2021,,,
Best,4.0 out of 5 stars,Best,Reviewed in India on 10 May 2021,,,
Face wash forest essentials saffron n neem,4.0 out of 5 stars,This face wash is mild and gentle on skin .. worth the price.,Reviewed in India on 29 October 2020,,,
GREAT PRODUCT !!!!,5.0 out of 5 stars,"Great Quality.Great Concept (Travel-Friendly).Only Wish, The Larger Bottles Are More Competitively Priced.Best Wishes To The Entire Team Of Forest Essentials.",Reviewed in India on 24 July 2021,,,
Overall a must try,4.0 out of 5 stars,Lovely fragrance and good feel post use,Reviewed in India on 15 January 2021,,,
Best ever face wash !!,5.0 out of 5 stars,"Best ever face wash , trust me when I say so..I have used high end brand products..but nothing beats this..I have combination skin with sensitive  patches over my cheeks..I am on my 5th bottle currently, it says it all..n it's last more than 3 months ,so not so pricey at all..it ll not remove ur make up, but it's not a job of facewash..but it gently removes dirt n oil from ur face...and not to mention it's divine fragrance..bonus point while washing ur face u r not lapping up ur skin with paraben or sulphates..so it's the best ever product out there !!",Reviewed in India on 29 June 2016,2 people found this helpful,,
One Time use,4.0 out of 5 stars,"What they write . Us real effect ,very small expecting, enough quantity for  wash , if your fedup with all companies then go for it , 1time use it",Reviewed in India on 8 December 2019,,,
Best cleanser for your skin,5.0 out of 5 stars,I have been using other forest essentials products for a very long time. This one I recently bought it for my skin care and its a game changer. I almost use it 3 times a day. Very good for the skin. Cleans and moisturizes your dry skin,Reviewed in India on 23 July 2020,One person found this helpful,,
Not Gentle,5.0 out of 5 stars,I will write a review after using it for a while. But meanwhile it was a great product .After I have used it for like 2 weeks I wouldn't recommend this to anyone specially with acne prone skin. This will make your skin even worse,Reviewed in India on 26 July 2020,,,
That sweet smell! Lives up to being luxurious,5.0 out of 5 stars,"It takes a lot of product to get some workable foam (that's what removes the dirt) but, that sweet smell leaves you surprised. Cleans well, definitely lives up to its name of luxury product. Wouldnt buy again as the quantity to price ratio is beyond economical.",Reviewed in India on 19 July 2020,,,
Amazing,5.0 out of 5 stars,Bought it for my husband n he is liking it .. amazing fragrance,Reviewed in India on 20 September 2021,,,
but if u want to get rid of pimples then believe me its one of the best product availaible in the market with all natural elements ...,4.0 out of 5 stars,just used 2 days from now and half of my pimples are gone...skin does not glow to the level that I expected...but if u want to get rid of pimples then believe me its one of the best product availaible in the market with all natural elements and hence no side effects...,Reviewed in India on 24 November 2017,,,
Must try,4.0 out of 5 stars,Its lovely scent makes you feel fresh after using it making your skin glow.,Reviewed in India on 7 July 2020,,,
Will purchase it again.,5.0 out of 5 stars,Very good cleanser..mild and very gentle to the skin. Only issue is to much fragrance but for me it's okay.,Reviewed in India on 17 June 2021,,,
Awesome,3.0 out of 5 stars,Nice,Reviewed in India on 14 September 2021,,,
Disappointed,3.0 out of 5 stars,I was supposed to get a free travel kit from forest essentials. Shopped for Rs3800+ in forest essentials products but cloudtail didnt deliver the kit. Disappointed to say the least,Reviewed in India on 10 August 2020,,,
Very good,4.0 out of 5 stars,Nice product,Reviewed in India on 12 January 2021,,,
Amazing product and lasts very long,5.0 out of 5 stars,"This product will make you stop using the regular face washes that make the face feel dry and stretchy after the wash. This one creates very little lather, smells natural and leaves the face feeling very soft and supple.It is expensive, but lasts really long.Between my husband and me we use just two bottles in a year. That is when we use the facewash on an average 3 times a day between the two of us.Recommend it.",Reviewed in India on 11 September 2018,47 people found this helpful,,
Great Product Very very poor bottle packaging,3.0 out of 5 stars,Have been suing the product but always bought form shop first time order online & the Spray has already broken the first day. the nozzle & it seems the spray/nozzle  are completely cracked on opening.. drained almost 1/4 because of the same..The product is perfect & the best in the category.. but not am worried.. to order..,Reviewed in India on 20 April 2019,2 people found this helpful,,
Worth the cost,5.0 out of 5 stars,As the name is delicateYes it is too delicate and i loved its fragnance and texture is really woww.It is good for only oily skin.If you have dry skin dont use it.,Reviewed in India on 6 October 2020,,,
Best brand,5.0 out of 5 stars,Works great for my sensitive skin and make it feel soft and smooth.. fragrance is also nice,Reviewed in India on 17 June 2021,,,
Excellent product,5.0 out of 5 stars,"Amazing product, was scared to use since i hv a very sensitive skin. But in just few days i can see some gud changes in my skin. Thank you forest essentials team u guys hv done a fab job!!!",Reviewed in India on 4 August 2020,,,
Product of the century,5.0 out of 5 stars,Well I have been using this product for a while and I am simply addicted to it.Its delicate on the skin and gives a refreshing feel every time you use it.Also no harmful chemicals involved hence for me it’s an amazing deal,Reviewed in India on 10 June 2020,,,
99% result  of this product nice,5.0 out of 5 stars,"ohhh my god after used this 99% best result, i have never seen like this kinds of result ever.",Reviewed in India on 15 May 2021,,,
Super nd very freshing facewash,4.0 out of 5 stars,Love this facewash very smooth nd fresh,Reviewed in India on 5 August 2020,,,
Overall a good product,4.0 out of 5 stars,"Product smells good. Skin feels moisturized after cleansing. Packaging disappointed me a little, because sticker on the bottle wasn't stuck well, barcode sticker was faded as well. Didn't expect this from brands like forest essential.",Reviewed in India on 25 May 2019,14 people found this helpful,,
Worst,1.0 out of 5 stars,It has heavy scent and not for sensitive skin at all. It says it's natural which I don't agree . It makes your skin reddish and dry not at all recommended.,Reviewed in India on 6 August 2022,,,
Good product,5.0 out of 5 stars,I love the fragrance and texture of this facewash.,Reviewed in India on 24 July 2021,,,
Honest review,2.0 out of 5 stars,It is just a normal cleanser nothing magical and don't go by the ingredients list available on the site as the complete list of the ingredients is missing itself on the product. Dont waste such big amount on a tiny bottle which does nothing except giving boils on the face. Plus packing of amazon my god is disgusting like just a polly bag they had given the product into it.,Reviewed in India on 24 November 2020,7 people found this helpful,,
Worth the money!,5.0 out of 5 stars,The product is superb!!!It could meet all of my expectations..Thank you.. Forest Essentials,Reviewed in India on 31 May 2021,,,
Amazing  amazing face wash,5.0 out of 5 stars,"I have oily skin. I wanted a face wash which is mild yet good at cleaning out all the dirt off my skin. It serves both such purposes without stripping out the moisture of the face, which is exactly what I needed. I swear by FE products and this face wash is one of their best products.",Reviewed in India on 20 January 2019,One person found this helpful,,
Excellent product,5.0 out of 5 stars,"Amazing product, was scared to use since i hv a very sensitive skin. But in just few days i can see some gud changes in my skin. Thank you forest essentials team u guys hv done a fab job!!!",Reviewed in India on 4 August 2020,,,
Product of the century,5.0 out of 5 stars,Well I have been using this product for a while and I am simply addicted to it.Its delicate on the skin and gives a refreshing feel every time you use it.Also no harmful chemicals involved hence for me it’s an amazing deal,Reviewed in India on 10 June 2020,,,
99% result  of this product nice,5.0 out of 5 stars,"ohhh my god after used this 99% best result, i have never seen like this kinds of result ever.",Reviewed in India on 15 May 2021,,,
Super nd very freshing facewash,4.0 out of 5 stars,Love this facewash very smooth nd fresh,Reviewed in India on 5 August 2020,,,
Overall a good product,4.0 out of 5 stars,"Product smells good. Skin feels moisturized after cleansing. Packaging disappointed me a little, because sticker on the bottle wasn't stuck well, barcode sticker was faded as well. Didn't expect this from brands like forest essential.",Reviewed in India on 25 May 2019,14 people found this helpful,,
Worst,1.0 out of 5 stars,It has heavy scent and not for sensitive skin at all. It says it's natural which I don't agree . It makes your skin reddish and dry not at all recommended.,Reviewed in India on 6 August 2022,,,
Good product,5.0 out of 5 stars,I love the fragrance and texture of this facewash.,Reviewed in India on 24 July 2021,,,
Honest review,2.0 out of 5 stars,It is just a normal cleanser nothing magical and don't go by the ingredients list available on the site as the complete list of the ingredients is missing itself on the product. Dont waste such big amount on a tiny bottle which does nothing except giving boils on the face. Plus packing of amazon my god is disgusting like just a polly bag they had given the product into it.,Reviewed in India on 24 November 2020,7 people found this helpful,,
Worth the money!,5.0 out of 5 stars,The product is superb!!!It could meet all of my expectations..Thank you.. Forest Essentials,Reviewed in India on 31 May 2021,,,
Amazing  amazing face wash,5.0 out of 5 stars,"I have oily skin. I wanted a face wash which is mild yet good at cleaning out all the dirt off my skin. It serves both such purposes without stripping out the moisture of the face, which is exactly what I needed. I swear by FE products and this face wash is one of their best products.",Reviewed in India on 20 January 2019,One person found this helpful,,
Herbal,5.0 out of 5 stars,Smooth silky texture nice smell facial cleanser face wash 😇,Reviewed in India on 7 July 2021,,,
Strong fragrance,4.0 out of 5 stars,Has a very strong fragrance. Too strong i feel! But is a mild face wash for skin. Did not notice much difference in the skin,Reviewed in India on 19 August 2019,One person found this helpful,,
Great Product,5.0 out of 5 stars,Forest essentials never ceases to amaze. Very nice product. Keeps the skin soft and supple. Definitely recommend,Reviewed in India on 16 April 2021,,,
Freshness with fragrance,4.0 out of 5 stars,Awesome fragrance with freshness feel,Reviewed in India on 4 August 2020,,,
v.good,4.0 out of 5 stars,thanks amazon...for d wonderful n amazing packaging...its really good..n thanks for early delivery...d product is awesome,Reviewed in India on 4 February 2020,One person found this helpful,,
Smells like Vimal paan masala..,2.0 out of 5 stars,"when you are paying 1k for a face wash, atleast it should throw some effects.. it will not do anything..! Just waste of money...",Reviewed in India on 12 November 2021,,,
Favorite,5.0 out of 5 stars,"One of my favourite product, really nice, lasts tooo long, using every day.. can't say about it's pros but definitely there is not even a single cons...",Reviewed in India on 10 December 2020,,,
Good product,5.0 out of 5 stars,It’s such no gud product ever I used,Reviewed in India on 3 July 2021,,,
Star product,5.0 out of 5 stars,"It smells heavenly...it doesn’t lather much, but effectively cleanse your skin...gives you a glowing and petal soft skin.",Reviewed in India on 24 March 2021,One person found this helpful,,
Original product,5.0 out of 5 stars,Seems original ayurvedic product and feels good after washing it daily. I wish price could be little less will helpful for the buyers for regular order.,Reviewed in India on 16 December 2020,,,
"Strong smell, Doesn't lather much",2.0 out of 5 stars,"Looking at the amazing reviews, ordered this expensive product but for me it didn't work. It lathers less, i found the smell too fast, had no acne, got one after using. Didn't work for my skin.",Reviewed in India on 26 September 2021,,,
Really good,5.0 out of 5 stars,Really great thanks,Reviewed in India on 18 September 2021,,,
"BUY IT ,AND THEN SEE THE QUALITY",5.0 out of 5 stars,NO WAY FOREST ESSENTIAL PRODUCT ARE EXPENSIVE BUT THEY ARE JUST WOW JUST AMAZING JUST USE ONE TIME THEN YOU ARE GOING TO CHANGE YOUR REGULAR FACE WASH .,Reviewed in India on 21 October 2020,,,
Nice,4.0 out of 5 stars,Nice,Reviewed in India on 13 October 2020,,,
A Must buy product...,5.0 out of 5 stars,Just received my face wash...its just awesome.. not at all harsh on the skin n it does not lather.. awesome smell too.. this is my second bottle..skin feel soft n clean,Reviewed in India on 20 September 2020,,,
average,3.0 out of 5 stars,average product,Reviewed in India on 19 June 2021,,,
"Good smell, no irritation, Over priced",3.0 out of 5 stars,"The product smells terrific, and very smooth to use. But I don't really believe this is purely herbal. This is a cosmetic cleanser without any irritation, so it is overpriced.",Reviewed in India on 13 March 2020,One person found this helpful,,
Nice,4.0 out of 5 stars,Nice,Reviewed in India on 21 September 2020,,,
Quality product.,5.0 out of 5 stars,"If works well for my skin and also after use, there is a reduce in pimples and acne.It last for two to three months because only two or three drops is required for each wash.",Reviewed in India on 24 May 2020,,,
Awesome product 👍,3.0 out of 5 stars,"Product wise, Fragrances is awesome. Facial cleanser forest essential kesar and neem lovely smell. Bought combo pack cleanser, toning and light. Worth product",Reviewed in India on 19 June 2020,,,
Damn good for sensitive skin!,5.0 out of 5 stars,I have been using this for a week and I have really sensitive skin and this product is super gentle a small quantity is sufficient to cleanse ur face..super happy I tried it❤️,Reviewed in India on 24 July 2020,,,
Best,5.0 out of 5 stars,"I loved it, best item best for oily skin",Reviewed in India on 10 May 2021,,,
Use it to beleive it,5.0 out of 5 stars,The scent is awesome. I love such ethnic smells. Great on sensitive skin,Reviewed in India on 16 March 2021,,,
"Awesome product, Skin feels clean and moisturized.",5.0 out of 5 stars,A good Its very gentle and just a small quantity gives you the required lather. Skin feels clean and moisturized.Good for sensitive/combination skin.,Reviewed in India on 13 November 2020,,,
Not an original product,3.0 out of 5 stars,Its not an original product,Reviewed in India on 25 March 2021,,,
Broken nozzle,4.0 out of 5 stars,Product is good. But received broken nozzle. Please replace the item.,Reviewed in India on 21 January 2020,,,
Not worth,1.0 out of 5 stars,Smells like having so much parfume in it,Reviewed in India on 25 August 2022,One person found this helpful,,
Must have product.,4.0 out of 5 stars,Absolutely loved the product.Although the price is on the higher side.My skin really feels good after using this.Would have given it 5 stars if the price was not so high.,Reviewed in India on 19 July 2018,2 people found this helpful,,
Good cleanser,5.0 out of 5 stars,Good for face cleansing,Reviewed in India on 16 June 2021,,,
Nice natural cleanser,5.0 out of 5 stars,Really good non-chemical cleanser...comes in nice travel freindly packaging as well.,Reviewed in India on 3 March 2021,,,
It's low quantity,3.0 out of 5 stars,Gud,Reviewed in India on 1 April 2021,,,
Excellent,5.0 out of 5 stars,Superb product,Reviewed in India on 9 July 2021,,,
Dislike the packaging,3.0 out of 5 stars,Don't like the packaging,Reviewed in India on 27 January 2021,,,
Mild facewash,4.0 out of 5 stars,"Good facewash for daily use. Doesnt dry out skin. No side effects. Very mild, doesnt lather much. Cant remove makeup in 1 wash.Costly, but 1 bottle will easily last for 3 months.",Reviewed in India on 9 January 2018,3 people found this helpful,,
Good but expensive,4.0 out of 5 stars,I like the product but there are alternatives available at cheaper prices.,Reviewed in India on 30 August 2019,,,
A must buy,5.0 out of 5 stars,You will observe changes in one or two weeks....good facial cleanser,Reviewed in India on 3 February 2021,,,
Not for all skin types,2.0 out of 5 stars,"It is not for oily or even combination skin.. just to clean face thoroughly, you might need more qty than usual facewash.. Also scent seems artificial",Reviewed in India on 2 August 2021,,,
Very nice product. Must buy,5.0 out of 5 stars,It is really helpful for my skin.,Reviewed in India on 11 March 2021,,,
Premium is the word and I i love quality happy to see such quality products.,5.0 out of 5 stars,Overall,Reviewed in India on 8 July 2021,,,
Pleasant,5.0 out of 5 stars,It is the best face wash in the world. Absolutely am in love with it. The best for dry skin. Scent is not overwhelming. Its just soft and pleasant. Bit pricey but totally with the money. Love it,Reviewed in India on 26 May 2019,,,
For me its a big NO,1.0 out of 5 stars,"I heard about it a lot and give a try to use it but it didn't work for me at all, infact my whole face got damaged. Pimples pigmentation on my whole face after using it.",Reviewed in India on 11 May 2022,,,
It's v v nice product,5.0 out of 5 stars,V nice scent and v good cleaner for skins,Reviewed in India on 20 January 2021,,,
A must buy for soft and supple skin,5.0 out of 5 stars,one of the best face washes I have used really gentle and leaves skin soft and supple. Great for dry skin,Reviewed in India on 12 September 2020,One person found this helpful,,
Happy with the product,4.0 out of 5 stars,"This is a good and mild facewash with beautiful mild fragrance. Once you start using this, it's difficult to shift to any other brand. Although it's quite expensive but the quality is good.",Reviewed in India on 3 August 2017,One person found this helpful,,
Love it,5.0 out of 5 stars,best facewash😍 for oily skin as well as sensitive skin. My acne got cleared out in two week since I started this product:),Reviewed in India on 5 August 2020,,,
Excellent,5.0 out of 5 stars,Good quality,Reviewed in India on 30 May 2021,,,
Awesome product,5.0 out of 5 stars,This one is even better than the rose one for my sensitive combination skin. I love it. Bought it for second time straight.,Reviewed in India on 13 August 2020,One person found this helpful,,
Not for dry skin.,3.0 out of 5 stars,Not for dry skin for sure.,Reviewed in India on 7 October 2020,,,
Good and effective but costly,4.0 out of 5 stars,Good product.smell is Abit strong and does not lather much.,Reviewed in India on 17 June 2019,,,
Best for Oily skin + Acne,5.0 out of 5 stars,"It's a very worthy purchase for those who have acne or pimples issue due to oily skin . It worked like a charm for me. Haven't got a single blotch on my face after started using this product. At the end, its a decent product worth investing despite its high price.",Reviewed in India on 22 October 2017,One person found this helpful,,
Good,4.0 out of 5 stars,Superb but not great for oily skin,Reviewed in India on 13 October 2019,,,
"High price tag, but good on your skin",4.0 out of 5 stars,"Akin soothing experience, A bit high on price but a good product.+ve+ Smooth skin after every wash.+ no chemicals.+ remove excess oil.-ve- A bit high on price.",Reviewed in India on 4 March 2017,3 people found this helpful,,
Mild long lasting smell,4.0 out of 5 stars,Good natural product,Reviewed in India on 18 February 2020,,,
It is essential...,5.0 out of 5 stars,All time favourite,Reviewed in India on 6 April 2021,,,
Value for money,5.0 out of 5 stars,I did a very excellent product my skin is oily every time it is very helpful for my skin and it also give an even tone skin,Reviewed in India on 5 March 2020,,,
Perfect,5.0 out of 5 stars,"My wife uses it on daily basis and she hasn't any complaint till now. It might seems costly but it's a long lasting product. So, if you guys do little math the price would be same as any regular face wash.The main advantage is that it's 100% authentic Ayurvedic product.",Reviewed in India on 28 September 2017,One person found this helpful,,
Love this product,5.0 out of 5 stars,"The smell is good, easy on skin, leaves your skin moist and clean and not dry or oily at all",Reviewed in India on 2 August 2020,,,
Worst at packaging,5.0 out of 5 stars,Packet was torn. My product was visible when i recieved. But product was not damaged so i kept it. Product is awesome,Reviewed in India on 9 June 2020,,,
Good,4.0 out of 5 stars,"Good product, nice fragrance but makes the skin feel slightly dry. Very slightly though.",Reviewed in India on 31 December 2018,3 people found this helpful,,
Food,5.0 out of 5 stars,Good one,Reviewed in India on 22 April 2021,,,
Good but does no good to dead adamant skin,4.0 out of 5 stars,Good but does no good to dead adamant skin; needs a stronger version to deal with pigmentation and melasma,Reviewed in India on 11 June 2018,,,
Not worth and gives such feel.,1.0 out of 5 stars,Very common type cleanser,Reviewed in India on 7 August 2022,,,
Nice product.,5.0 out of 5 stars,I am Using it more than one month. My skin condition is improving. Thank you Amazon.,Reviewed in India on 1 September 2020,,,
Must buy thing,5.0 out of 5 stars,If u smell it You will realise why FI princes are so high!! Totally worth for money product,Reviewed in India on 14 August 2020,,,
If you have dry skin.then this is the one for you.,5.0 out of 5 stars,"For some one who has tried countless face washes with most of them drying up my skin,this is the only one(and i repeat the only one) that kept my face smooth and free from dryness.the price might be a bit high but then it can last around 2 to 3 months easily.go for it,you wont regret,i know i haven't",Reviewed in India on 18 July 2016,One person found this helpful,,
